#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 11:55:27      0  1949     6     3     4     0     0
 11:55:28      0  1949     6     2     4     0     0
 11:55:29      0  1950     6     2     4     0     0
 11:55:30      0  1950     6     2     4     0     0
 11:55:31      0  1950     6     3     4     0     0
 11:55:32      0  1950     6     1     3     0     0
 11:55:33      0  1950     6     2     4     0     0
 11:55:34      0  1949     6     2     4     0     0
 11:55:35      0  1949     6     1     3     0     0
 11:55:36      0  1949     6     2     4     0     0
 11:55:37      0  1949     6     2     4     0     0
 11:55:38      0  1949     6     1     3     0     0
 11:55:39      0  1950     6     4     4     0     0
 11:55:40      0  1950     6     2     4     0     0
 11:55:41      0  1950     6     1     4     0     0
 11:55:42      0  1950     6     2     4     0     0
 11:55:43      0  1950     6     2     4     0     0
 11:55:44      0  1949     6     1     3     0     0
 11:55:45      0  1949     6     3     4     0     0
 11:55:46      0  1949     6     2     4     0     0
 11:55:47      0  1949     6     2     4     0     0
 11:55:48      0  1949     6     2     4     0     0
 11:55:49      0  1950     6     3     4     0     0
 11:55:50      0  1950     6     2     3     0     0
 11:55:51      0  1950     6     2     4     0     0
 11:55:52      0  1950     6     2     4     0     0
 11:55:53      0  1950     6     2     4     0     0
 11:55:54      0  1949     6     2     4     0     0
 11:55:55      0  1371     6    15     8     0     0
 11:55:56      0   947     6    41    17     0     0
 11:55:57      0   642     6    26     6     0     0
 11:55:58      0   653     6    30    13     0     0
 11:55:59      0   657     6    33    15     0     0
 11:56:00      0   658     6    14     7     0     0
 11:56:01      0   652     6     1     2     0     0
#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 11:56:02      0   651     6     0     3     0     0
 11:56:03      0   643     6     0     3     0     0
 11:56:04      0   639     6     0     3     0     0
 11:56:05      0   642     6    37    17     0     0
 11:56:06      0   642     6    30    15     0     0
 11:56:07      0   643     6     9     6     0     0
 11:56:08      0   643     6     7     5     0     0
 11:56:09      0   649     6    18     9     0     0
 11:56:10      0   658     6    31    15     0     0
 11:56:11      0   658     6     6     5     0     0
 11:56:12      0   659     6    33    16     0     0
 11:56:13      0   659     6     7     5     0     0
 11:56:14      0   658     6     7     5     0     0
 11:56:15      0   647     6    23    11     0     0
 11:56:16      0   648     6    29    15     0     0
 11:56:17      0   648     6     6     5     0     0
 11:56:18      0   648     6     7     5     0     0
 11:56:19      0   647     6    27    12     0     0
 11:56:20      0   643     6     7     5     0     0
 11:56:21      0   647     6     9     6     0     0
 11:56:22      0   646     6    22    10     0     0
 11:56:23      0   654     6    40    17     0     0
 11:56:24      0   652     6    32    17     0     0
 11:56:25      0   653     6     6     5     0     0
 11:56:26      0   651     6    23    13     0     0
 11:56:27      0   651     6     6     5     0     0
 11:56:28      0   649     6    11     7     0     0
 11:56:29      0   650     6    25    13     0     0
 11:56:30      0   651     6    31    16     0     0
 11:56:31      0   654     6    13     8     0     0
 11:56:32      0   656     6    38    19     0     0
 11:56:33      0   703     6    34    15     0     0
 11:56:34      0   719     6    42    19     0     0
 11:56:35      0   719     6    30    14     0     0
 11:56:36      0   719     6    22    10     0     0
 11:56:37      0   716     6    36    16     0     0
 11:56:38      0   709     6    18     8     0     0
 11:56:39      0   704     6    31    14     0     0
 11:56:40      0   703     6    39    18     0     0
 11:56:41      0   703     6    21    10     0     0
 11:56:42      0   704     6    30    14     0     0
 11:56:43      0   703     6    24    11     0     0
 11:56:44      0   703     6    11     5     0     0
 11:56:45      0   703     6    21    10     0     0
#Time        gpu    fb  bar1    sm   mem   enc   dec
#HH:MM:SS    Idx    MB    MB     %     %     %     %
 11:56:46      0   703     6    21    11     0     0
 11:56:47      0   696     6    21    11     0     0
 11:56:48      0   689     6    21    11     0     0
 11:56:49      0   689     6    21    11     0     0
 11:56:50      0   689     6    22    11     0     0
 11:56:51      0   705     6    40    18     0     0
 11:56:52      0   705     6    30    14     0     0
 11:56:53      0   705     6    22    10     0     0
 11:56:54      0   706     6    41    20     0     0
 11:56:55      0   706     6    18     9     0     0
 11:56:56      0   706     6    27    12     0     0
 11:56:57      0   705     6    36    18     0     0
 11:56:58      0   705     6    22    11     0     0
 11:56:59      0   705     6    33    16     0     0
 11:57:00      0   706     6    26    12     0     0
 11:57:01      0   704     6    24    11     0     0
 11:57:02      0   704     6    42    21     0     0
